,industry_code
0001.HK,40
0002.HK,55
0003.HK,55
0004.HK,40
0005.HK,40
0006.HK,55
0008.HK,50
0010.HK,40
0011.HK,40
0012.HK,40
0014.HK,40
0016.HK,40
0017.HK,40
0019.HK,40
0020.HK,40
0023.HK,40
0027.HK,25
0035.HK,40
0038.HK,20
0041.HK,40
0042.HK,20
0066.HK,20
0069.HK,25
0081.HK,40
0083.HK,40
0086.HK,40
0101.HK,40
0107.HK,20
0109.HK,40
0119.HK,40
0123.HK,40
0135.HK,10
0136.HK,25
0142.HK,40
0144.HK,20
0148.HK,45
0151.HK,30
0152.HK,20
0163.HK,40
0165.HK,40
0168.HK,30
0173.HK,40
0175.HK,25
0177.HK,20
0178.HK,25
0179.HK,20
0187.HK,20
0198.HK,25
0200.HK,25
0215.HK,50
0220.HK,30
0241.HK,35
0242.HK,20
0245.HK,25
0256.HK,25
0257.HK,20
0267.HK,20
0268.HK,45
0270.HK,55
0272.HK,40
0285.HK,45
0288.HK,30
0291.HK,30
0293.HK,20
0297.HK,15
0303.HK,45
0308.HK,25
0315.HK,50
0316.HK,20
0317.HK,20
0321.HK,25
0322.HK,30
0323.HK,15
0327.HK,45
0330.HK,25
0336.HK,15
0337.HK,40
0338.HK,10
0341.HK,25
0345.HK,30
0347.HK,15
0354.HK,45
0358.HK,15
0363.HK,20
0368.HK,20
0371.HK,55
0378.HK,40
0384.HK,55
0386.HK,10
0388.HK,40
0390.HK,20
0392.HK,20
0400.HK,25
0410.HK,40
0412.HK,40
0419.HK,25
0425.HK,25
0439.HK,50
0440.HK,40
0451.HK,45
0460.HK,35
0489.HK,25
0493.HK,25
0494.HK,25
0506.HK,30
0511.HK,25
0522.HK,45
0525.HK,20
0546.HK,15
0547.HK,25
0548.HK,20
0551.HK,25
0552.HK,50
0553.HK,45
0563.HK,40
0564.HK,20
0568.HK,10
0570.HK,35
0576.HK,20
0579.HK,55
0586.HK,20
0588.HK,40
0590.HK,25
0598.HK,20
0604.HK,40
0606.HK,30
0607.HK,40
0636.HK,20
0639.HK,15
0656.HK,20
0658.HK,20
0659.HK,20
0665.HK,40
0669.HK,25
0670.HK,20
0680.HK,45
0683.HK,40
0688.HK,40
0694.HK,20
0696.HK,45
0698.HK,45
0699.HK,20
0700.HK,45
0709.HK,25
0715.HK,40
0719.HK,35
0721.HK,40
0728.HK,50
0729.HK,20
0732.HK,45
0735.HK,55
0737.HK,20
0751.HK,25
0753.HK,20
0762.HK,50
0763.HK,45
0775.HK,35
0777.HK,45
0787.HK,25
0806.HK,40
0811.HK,25
0813.HK,40
0816.HK,55
0817.HK,40
0819.HK,25
0836.HK,55
0855.HK,55
0857.HK,10
0861.HK,45
0867.HK,35
0868.HK,25
0874.HK,35
0880.HK,25
0881.HK,25
0883.HK,10
0884.HK,40
