,hk_index
2007-01-04 00:00:00.005,7194.119085
2007-01-05 00:00:00.005,7305.269826
2007-01-08 00:00:00.005,7344.412727
2007-01-09 00:00:00.005,7358.15737
2007-01-10 00:00:00.005,7245.999732
2007-01-11 00:00:00.005,7231.229568
2007-01-12 00:00:00.005,7315.587015
2007-01-15 00:00:00.005,7473.635915
2007-01-16 00:00:00.005,7456.339479
2007-01-17 00:00:00.005,7487.42308
2007-01-18 00:00:00.005,7527.312333
2007-01-19 00:00:00.005,7553.580764
2007-01-22 00:00:00.005,7675.636532
2007-01-23 00:00:00.005,7619.578544
2007-01-24 00:00:00.005,7555.683759
2007-01-25 00:00:00.005,7483.682735
2007-01-26 00:00:00.005,7400.418301
2007-01-29 00:00:00.005,7411.637381
2007-01-30 00:00:00.005,7460.333576
2007-01-31 00:00:00.005,7365.68532
2007-02-01 00:00:00.005,7487.536999
2007-02-02 00:00:00.005,7587.828666
2007-02-05 00:00:00.005,7555.796903
2007-02-06 00:00:00.005,7612.260466
2007-02-07 00:00:00.005,7609.740768
2007-02-08 00:00:00.005,7643.264868
2007-02-09 00:00:00.005,7645.081529
2007-02-12 00:00:00.005,7636.635787
2007-02-13 00:00:00.005,7449.770819
2007-02-14 00:00:00.005,7483.260543
2007-02-15 00:00:00.005,7583.857587
2007-02-16 00:00:00.005,7600.695052
2007-02-26 00:00:00.005,7542.551228
2007-02-27 00:00:00.005,7403.114862
2007-02-28 00:00:00.005,7174.95813
2007-03-01 00:00:00.005,7067.140676
2007-03-02 00:00:00.005,7088.546491
2007-03-05 00:00:00.005,6808.104956
2007-03-06 00:00:00.005,6941.876003
2007-03-07 00:00:00.005,6957.673934
2007-03-08 00:00:00.005,7060.264833
2007-03-09 00:00:00.005,7128.100757
2007-03-12 00:00:00.005,7180.722973
2007-03-13 00:00:00.005,7162.190086
2007-03-14 00:00:00.005,6964.735874
2007-03-15 00:00:00.005,7004.581962
2007-03-16 00:00:00.005,6956.598876
2007-03-19 00:00:00.005,7051.074409
2007-03-20 00:00:00.005,7078.638918
2007-03-21 00:00:00.005,7159.469803
2007-03-22 00:00:00.005,7244.217649
2007-03-23 00:00:00.005,7242.688405
2007-03-26 00:00:00.005,7266.624444
2007-03-27 00:00:00.005,7243.14899
2007-03-28 00:00:00.005,7191.026587
2007-03-29 00:00:00.005,7268.575108
2007-03-30 00:00:00.005,7265.493415
2007-04-02 00:00:00.005,7290.091127
2007-04-03 00:00:00.005,7392.92912
2007-04-04 00:00:00.005,7486.649416
2007-04-05 00:00:00.005,7486.649416
2007-04-06 00:00:00.005,7486.649416
2007-04-09 00:00:00.005,7485.308667
2007-04-10 00:00:00.005,7535.921648
2007-04-11 00:00:00.005,7544.964312
2007-04-12 00:00:00.005,7497.571766
2007-04-13 00:00:00.005,7444.19539
2007-04-16 00:00:00.005,7532.824816
2007-04-17 00:00:00.005,7526.378085
2007-04-18 00:00:00.005,7494.767856
2007-04-19 00:00:00.005,7356.028352
2007-04-20 00:00:00.005,7437.559192
2007-04-23 00:00:00.005,7486.502191
2007-04-24 00:00:00.005,7482.429366
2007-04-25 00:00:00.005,7482.787518
2007-04-26 00:00:00.005,7528.93778
2007-04-27 00:00:00.005,7491.643946
2007-04-30 00:00:00.005,7403.456867
2007-05-08 00:00:00.005,7556.697216
2007-05-09 00:00:00.005,7626.088271
2007-05-10 00:00:00.005,7604.271865
2007-05-11 00:00:00.005,7508.510323
2007-05-14 00:00:00.005,7629.761601
2007-05-15 00:00:00.005,7579.006647
2007-05-16 00:00:00.005,7612.996543
2007-05-17 00:00:00.005,7658.041211
2007-05-18 00:00:00.005,7581.626333
2007-05-21 00:00:00.005,7582.395506
