,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK,0014.HK,0016.HK,0017.HK,0019.HK,0020.HK,0023.HK,0027.HK,0035.HK,0038.HK,0041.HK,0066.HK,0069.HK,0081.HK,0083.HK,0086.HK,0101.HK,0107.HK,0119.HK,0123.HK,0135.HK,0142.HK,0144.HK,0148.HK,0151.HK,0152.HK,0163.HK,0165.HK,0168.HK,0173.HK,0175.HK,0177.HK,0178.HK,0179.HK,0198.HK,0200.HK,0215.HK,0220.HK,0242.HK,0256.HK,0257.HK,0267.HK,0268.HK,0270.HK,0272.HK,0285.HK,0288.HK,0291.HK,0293.HK,0297.HK,0303.HK,0308.HK,0315.HK,0316.HK,0317.HK,0321.HK,0322.HK,0323.HK,0327.HK,0330.HK,0336.HK,0337.HK,0338.HK,0341.HK,0345.HK,0347.HK,0354.HK,0358.HK,0363.HK,0368.HK,0371.HK,0384.HK,0386.HK,0388.HK,0390.HK,0392.HK,0400.HK,0410.HK,0425.HK,0439.HK,0440.HK,0451.HK,0460.HK,0489.HK,0493.HK,0494.HK,0506.HK,0511.HK,0522.HK,0525.HK,0546.HK,0548.HK,0551.HK,0552.HK,0563.HK,0564.HK,0568.HK,0570.HK,0576.HK,0579.HK,0586.HK,0588.HK,0590.HK,0598.HK,0604.HK,0606.HK,0636.HK,0639.HK,0656.HK,0658.HK,0659.HK,0665.HK,0669.HK,0670.HK,0683.HK,0688.HK,0694.HK,0696.HK,0698.HK,0699.HK,0700.HK,0709.HK,0715.HK,0719.HK,0721.HK,0728.HK,0732.HK,0735.HK,0737.HK,0751.HK,0753.HK,0762.HK,0763.HK,0777.HK,0787.HK,0806.HK,0811.HK,0813.HK,0816.HK,0817.HK,0819.HK,0836.HK,0855.HK,0857.HK,0861.HK,0867.HK,0868.HK,0874.HK,0880.HK,0881.HK,0883.HK,0884.HK,0895.HK,0902.HK,0914.HK,0916.HK,0921.HK,0933.HK,0934.HK,0939.HK,0941.HK,0958.HK,0960.HK,0966.HK,0968.HK,0976.HK,0978.HK,0981.HK,0991.HK,0992.HK,0995.HK,0996.HK,0998.HK,1030.HK,1033.HK,1038.HK,1044.HK,1052.HK,1053.HK,1055.HK,1057.HK,1065.HK,1066.HK,1070.HK,1071.HK,1072.HK,1083.HK,1088.HK,1093.HK,1099.HK,1109.HK,1112.HK,1113.HK,1114.HK,1117.HK,1128.HK,1136.HK,1138.HK,1157.HK,1169.HK,1171.HK,1177.HK,1186.HK,1193.HK,1199.HK,1205.HK,1208.HK,1211.HK,1230.HK,1234.HK,1236.HK,1238.HK,1253.HK,1288.HK,1293.HK,1299.HK,1302.HK,1308.HK,1310.HK,1313.HK,1316.HK,1317.HK,1333.HK,1336.HK,1339.HK,1347.HK,1359.HK,1361.HK,1363.HK,1368.HK,1375.HK,1378.HK,1381.HK,1382.HK,1387.HK,1398.HK,1432.HK,1448.HK,1508.HK,1513.HK,1515.HK,1528.HK,1530.HK,1618.HK,1628.HK,1658.HK,1661.HK,1666.HK,1668.HK,1680.HK,1685.HK,1728.HK,1766.HK,1776.HK,1777.HK,1778.HK,1788.HK,1800.HK,1811.HK,1812.HK,1813.HK,1816.HK,1828.HK,1829.HK,1833.HK,1880.HK,1882.HK,1883.HK,1886.HK,1888.HK,1898.HK,1918.HK,1919.HK,1928.HK,1929.HK,1958.HK,1963.HK,1966.HK,1970.HK,1972.HK,1980.HK,1988.HK,1999.HK,2005.HK,2007.HK,2009.HK,2018.HK,2020.HK,2038.HK,2039.HK,2066.HK,2128.HK,2168.HK,2186.HK,2196.HK,2199.HK,2202.HK,2208.HK,2233.HK,2238.HK,2255.HK,2282.HK,2298.HK,2313.HK,2314.HK,2318.HK,2319.HK,2328.HK,2331.HK,2333.HK,2338.HK,2356.HK,2357.HK,2369.HK,2380.HK,2382.HK,2386.HK,2388.HK,2588.HK,2600.HK,2601.HK,2607.HK,2628.HK,2666.HK,2678.HK,2688.HK,2689.HK,2727.HK,2777.HK,2866.HK,2877.HK,2880.HK,2883.HK,2888.HK,2899.HK,3308.HK,3311.HK,3323.HK,3328.HK,3331.HK,3333.HK,3360.HK,3377.HK,3380.HK,3382.HK,3383.HK,3393.HK,3396.HK,3606.HK,3618.HK,3698.HK,3799.HK,3800.HK,3808.HK,3813.HK,3818.HK,3836.HK,3886.HK,3888.HK,3898.HK,3899.HK,3900.HK,3908.HK,3933.HK,3958.HK,3968.HK,3969.HK,3988.HK,3993.HK,3998.HK,6030.HK,6099.HK,6808.HK,6818.HK,6837.HK,6863.HK,6881.HK,6886.HK
2007-01-04 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-05 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-08 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-09 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-10 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-11 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-12 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-15 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-16 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-17 00:00:00.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
