,port_members
2007-01-04 00:00:00.005,
2007-01-05 00:00:00.005,
2007-01-08 00:00:00.005,
2007-01-09 00:00:00.005,
2007-01-10 00:00:00.005,
2007-01-11 00:00:00.005,
2007-01-12 00:00:00.005,
2007-01-15 00:00:00.005,
2007-01-16 00:00:00.005,
2007-01-17 00:00:00.005,
2007-01-18 00:00:00.005,
2007-01-19 00:00:00.005,
2007-01-22 00:00:00.005,
2007-01-23 00:00:00.005,
2007-01-24 00:00:00.005,
2007-01-25 00:00:00.005,
2007-01-26 00:00:00.005,
2007-01-29 00:00:00.005,
2007-01-30 00:00:00.005,
2007-01-31 00:00:00.005,
2007-02-01 00:00:00.005,
2007-02-02 00:00:00.005,
2007-02-05 00:00:00.005,
2007-02-06 00:00:00.005,
2007-02-07 00:00:00.005,
2007-02-08 00:00:00.005,
2007-02-09 00:00:00.005,
2007-02-12 00:00:00.005,
2007-02-13 00:00:00.005,
2007-02-14 00:00:00.005,
2007-02-15 00:00:00.005,"[2326.HK, 2313.HK, 1188.HK, 1177.HK, 3393.HK, 1236.HK, 3899.HK, 2877.HK, 1211.HK, 3308.HK, 3900.HK, 2689.HK, 2357.HK, 2331.HK, 3886.HK, 3382.HK, 2333.HK, 2866.HK, 0570.HK, 2888.HK, 3311.HK, 1169.HK, 1205.HK, 1919.HK, 0371.HK]"
2007-02-16 00:00:00.005,"[2326.HK, 2313.HK, 1188.HK, 1177.HK, 3393.HK, 1236.HK, 3899.HK, 2877.HK, 1211.HK, 3308.HK, 3900.HK, 2689.HK, 2357.HK, 2331.HK, 3886.HK, 3382.HK, 2866.HK, 0570.HK, 2888.HK, 3311.HK, 1205.HK, 1919.HK, 0371.HK, 1193.HK, 0729.HK]"
2007-02-26 00:00:00.005,"[2326.HK, 2313.HK, 1188.HK, 1177.HK, 3393.HK, 1236.HK, 3899.HK, 2877.HK, 1211.HK, 3308.HK, 3900.HK, 2689.HK, 2357.HK, 3886.HK, 3382.HK, 2866.HK, 0570.HK, 2888.HK, 3311.HK, 1205.HK, 1919.HK, 1193.HK, 0729.HK, 1093.HK, 0659.HK]"
2007-02-27 00:00:00.005,"[2326.HK, 2313.HK, 1188.HK, 1177.HK, 3393.HK, 1236.HK, 3899.HK, 2877.HK, 1211.HK, 3308.HK, 3900.HK, 2689.HK, 2357.HK, 3886.HK, 3382.HK, 0570.HK, 2888.HK, 3311.HK, 1205.HK, 1919.HK, 0729.HK, 1093.HK, 0659.HK, 0978.HK, 0934.HK]"
2007-02-28 00:00:00.005,"[2326.HK, 2313.HK, 1188.HK, 1177.HK, 3393.HK, 1236.HK, 3899.HK, 2877.HK, 1211.HK, 3900.HK, 2689.HK, 2357.HK, 3886.HK, 3382.HK, 0570.HK, 2888.HK, 3311.HK, 1205.HK, 0729.HK, 1093.HK, 0659.HK, 0978.HK, 0934.HK, 0639.HK, 2005.HK]"
